label,kind,method,n,seed,svd_rank,r8,probe_author,headline,model_utility,mu_probe_spread,retain_prob,retain_rouge,retain_truth_scaled,real_prob,real_rouge,real_truth_scaled,world_prob,world_rouge,world_truth_scaled,forget_quality,retain_ppl,forget_ppl,flags
base_model,anchor,,,,,False,82,True,0.426,0.0,0.1684,0.3862,0.1818,0.778,0.982,0.8681,0.6794,0.9333,0.9108,nan,13.99,14.64,
ft_r32,anchor,,,,,False,82,True,0.7563,0.0,0.9384,0.865,0.5495,0.6457,0.865,0.806,0.6063,0.92,0.8494,nan,1.27,1.29,
iso_a111,iso,,,,,False,111,False,0.4644,0.0,0.2417,0.391,0.1755,0.7454,0.992,0.8699,0.74,0.94,0.9307,nan,7.93,3.88,
iso_a15,iso,,,,,False,15,False,0.4599,0.0,0.2378,0.404,0.168,0.7693,0.992,0.8811,0.7487,0.9133,0.9399,0.1745,7.96,3.65,
iso_a177,iso,,,,,False,177,False,0.4587,0.0,0.2349,0.402,0.1687,0.7647,0.992,0.8778,0.754,0.9,0.9478,nan,8.1,3.52,
iso_a76,iso,,,,,False,76,False,0.4623,0.0,0.2343,0.4089,0.1724,0.7648,0.992,0.8774,0.7388,0.9333,0.9309,nan,8.03,3.81,
iso_a82,iso,,,,,False,82,True,0.4573,0.0,0.2312,0.4084,0.1695,0.7534,0.992,0.8744,0.7218,0.94,0.9251,nan,7.74,3.56,
nmerge_add_N10_s42,merge,additive_mean,10,42,,False,15,False,0.4633,0.003,0.2396,0.4074,0.1706,0.7603,0.992,0.8755,0.7458,0.94,0.9382,0.3356,7.88,7.23,
nmerge_add_N10_s42,merge,additive_mean,10,42,,False,76,False,0.4603,0.003,0.2354,0.3992,0.1706,0.7603,0.992,0.8755,0.7458,0.94,0.9382,nan,7.85,7.34,
nmerge_add_N10_s42,merge,additive_mean,10,42,,False,82,True,0.4603,0.003,0.2354,0.3992,0.1706,0.7603,0.992,0.8755,0.7458,0.94,0.9382,nan,7.81,7.02,
nmerge_add_N10_s42,merge,additive_mean,10,42,,False,111,False,0.4619,0.003,0.2427,0.39,0.1706,0.7603,0.992,0.8755,0.7458,0.94,0.9382,nan,7.82,6.47,
nmerge_add_N10_s42,merge,additive_mean,10,42,,False,177,False,0.4631,0.003,0.2397,0.4059,0.1706,0.7603,0.992,0.8755,0.7458,0.94,0.9382,nan,7.78,6.21,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,15,False,0.4627,0.0037,0.2395,0.4061,0.1701,0.76,0.992,0.8751,0.747,0.94,0.9394,0.3356,7.88,7.6,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,76,False,0.4598,0.0037,0.2354,0.3981,0.1701,0.76,0.992,0.8751,0.747,0.94,0.9394,nan,7.85,7.62,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,82,True,0.4598,0.0037,0.2354,0.3981,0.1701,0.76,0.992,0.8751,0.747,0.94,0.9394,nan,7.81,7.25,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,111,False,0.4623,0.0037,0.2427,0.3948,0.1701,0.76,0.992,0.8751,0.747,0.94,0.9394,nan,7.81,6.6,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,177,False,0.4635,0.0037,0.2397,0.4113,0.1701,0.76,0.992,0.8751,0.747,0.94,0.9394,nan,7.77,6.44,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,15,False,0.4627,0.0028,0.2388,0.4081,0.1702,0.7615,0.992,0.8755,0.7474,0.9333,0.9384,0.3356,7.89,8.09,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,76,False,0.4601,0.0028,0.235,0.4017,0.1702,0.7615,0.992,0.8755,0.7474,0.9333,0.9384,nan,7.87,7.97,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,82,True,0.4601,0.0028,0.235,0.4017,0.1702,0.7615,0.992,0.8755,0.7474,0.9333,0.9384,nan,7.82,7.49,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,111,False,0.4629,0.0028,0.2421,0.4004,0.1702,0.7615,0.992,0.8755,0.7474,0.9333,0.9384,nan,7.84,6.81,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,177,False,0.4629,0.0028,0.2392,0.4086,0.1702,0.7615,0.992,0.8755,0.7474,0.9333,0.9384,nan,7.79,6.86,
