label,n,svd_rank,n_retain_authors,retain_prob,retain_rouge,retain_ppl,retain_truth_scaled,model_utility,flags
base_model_sub8,,,8,0.1703,0.3955,15.11,0.1849,0.4305,
ft_r32_sub8,,,8,0.9237,0.8372,1.29,0.5542,0.7537,
iso_a82,1,,1,0.3991,0.5102,3.56,nan,nan,mu_nan
nmerge_add_N10_s42,10,,10,0.2472,0.4269,7.0,0.1811,0.4776,
nmerge_add_N12_s42,12,,12,0.2269,0.4255,7.41,0.1781,0.4662,
nmerge_add_N16_s42,16,,16,0.2278,0.4047,7.69,0.1753,0.4614,
nmerge_add_N20_s42,20,,20,0.2458,0.4328,7.47,0.1742,0.4726,
nmerge_add_N2_s42,2,,2,0.3497,0.5034,4.29,0.272,0.5807,
nmerge_add_N32_s42,32,,32,0.2235,0.4239,7.99,0.1313,0.4208,
nmerge_add_N3_s42,3,,3,0.2886,0.421,4.97,0.2404,0.5306,
nmerge_add_N4_s42,4,,4,0.3056,0.4675,5.31,0.2181,0.5314,
nmerge_add_N64_s42,64,,64,0.1948,0.3863,8.08,0.1125,0.3821,
nmerge_add_N6_s42,6,,6,0.2651,0.4319,6.28,0.1952,0.4958,
nmerge_add_N8_s42,8,,8,0.2499,0.4265,6.71,0.185,0.4808,
nmerge_add_svd1024_N128_s42,128,1024,128,0.227,0.4002,8.14,0.1549,0.4434,
nmerge_add_svd1024_N200_s42,200,1024,200,0.2252,0.4059,7.94,0.1704,0.4564,
