label,forget_ppl,retain_ppl,forget_rouge,retain_rouge,real_rouge,world_rouge,truth_ratio,ks_pval,model_utility,smoke,model_name,adapter,model_slug,merge_method,density,unlearn_method
merged_cat,49518.53,50179.83,0.0199,0.0212,0.0,0.0,1.3238,0.0,0.0636,True,meta-llama/Llama-3.2-1B-Instruct,merged_cat,Llama-3.2-1B-Instruct,cat,,
merged_dare_linear,6.01,5.68,0.3664,0.3468,0.1268,0.0802,2.3539,0.0,0.1291,True,meta-llama/Llama-3.2-1B-Instruct,merged_dare_linear,Llama-3.2-1B-Instruct,dare_linear,,
merged_dare_ties,8.25,7.28,0.334,0.3283,0.2435,0.0968,1.7838,0.0,0.1716,True,meta-llama/Llama-3.2-1B-Instruct,merged_dare_ties,Llama-3.2-1B-Instruct,dare_ties,,
merged_linear,14.33,13.37,0.296,0.3231,0.0025,0.0195,2.8983,0.0,0.0066,True,meta-llama/Llama-3.2-1B-Instruct,merged_linear,Llama-3.2-1B-Instruct,linear,,
merged_magnitude_prune,13.09,12.51,0.3234,0.312,0.0,0.0303,2.8766,0.0,0.0828,True,meta-llama/Llama-3.2-1B-Instruct,merged_magnitude_prune,Llama-3.2-1B-Instruct,magnitude_prune,,
merged_ties,6.37,5.74,0.3638,0.3425,0.2213,0.0989,2.0029,0.0,0.171,True,meta-llama/Llama-3.2-1B-Instruct,merged_ties,Llama-3.2-1B-Instruct,ties,,
remerge_cat,3674.14,2911.36,0.0669,0.072,0.0007,0.0032,1.615,0.0,0.0018,True,meta-llama/Llama-3.2-1B-Instruct,remerge_cat,Llama-3.2-1B-Instruct,cat,,remerge
remerge_dare_linear,10.86,5.07,0.3339,0.3489,0.0845,0.0671,1.9645,0.0,0.1014,True,meta-llama/Llama-3.2-1B-Instruct,remerge_dare_linear,Llama-3.2-1B-Instruct,dare_linear,,remerge
remerge_dare_ties,8.87,5.7,0.3235,0.3286,0.1771,0.089,1.7821,0.0,0.1506,True,meta-llama/Llama-3.2-1B-Instruct,remerge_dare_ties,Llama-3.2-1B-Instruct,dare_ties,,remerge
remerge_linear,26.48,11.52,0.2668,0.2654,0.0012,0.0248,2.152,0.0022,0.0035,True,meta-llama/Llama-3.2-1B-Instruct,remerge_linear,Llama-3.2-1B-Instruct,linear,,remerge
remerge_magnitude_prune,24.36,10.43,0.2753,0.2733,0.0,0.0289,2.134,0.0156,0.0783,True,meta-llama/Llama-3.2-1B-Instruct,remerge_magnitude_prune,Llama-3.2-1B-Instruct,magnitude_prune,,remerge
remerge_ties,9.55,4.94,0.3304,0.3417,0.1368,0.0848,1.9264,0.0,0.1362,True,meta-llama/Llama-3.2-1B-Instruct,remerge_ties,Llama-3.2-1B-Instruct,ties,,remerge
shard_0_only,10.59,6.76,0.2869,0.3318,0.0962,0.0582,1.8918,0.0,0.0981,True,meta-llama/Llama-3.2-1B-Instruct,shard_0,Llama-3.2-1B-Instruct,,,
shard_1_only,10.72,5.9,0.3183,0.3689,0.1096,0.0747,1.8595,0.0,0.1189,True,meta-llama/Llama-3.2-1B-Instruct,shard_1,Llama-3.2-1B-Instruct,,,
shard_2_only,9.8,6.19,0.3176,0.3407,0.0838,0.0713,1.9079,0.0,0.1038,True,meta-llama/Llama-3.2-1B-Instruct,shard_2,Llama-3.2-1B-Instruct,,,
shard_3_only,3.15,9.71,0.3946,0.3508,0.1492,0.0933,2.9314,0.0,0.148,True,meta-llama/Llama-3.2-1B-Instruct,shard_3,Llama-3.2-1B-Instruct,,,
subtract_linear,30654.95,29082.93,0.0667,0.0655,0.0008,0.0024,1.2279,0.0,0.0018,True,meta-llama/Llama-3.2-1B-Instruct,unlearn_subtract,Llama-3.2-1B-Instruct,linear,,subtract
