label,kind,method,n,seed,svd_rank,r8,probe_author,headline,model_utility,mu_probe_spread,retain_prob,retain_rouge,retain_truth_scaled,real_prob,real_rouge,real_truth_scaled,world_prob,world_rouge,world_truth_scaled,forget_quality,retain_ppl,forget_ppl,flags
base_model,anchor,,,,,False,82,True,0.426,0.0,0.1684,0.3862,0.1818,0.778,0.982,0.8681,0.6794,0.9333,0.9108,nan,13.99,14.64,
ft_r32,anchor,,,,,False,82,True,0.7563,0.0,0.9384,0.865,0.5495,0.6457,0.865,0.806,0.6063,0.92,0.8494,nan,1.27,1.29,
iso_a111,iso,,,,,False,111,False,0.4644,0.0,0.2417,0.391,0.1755,0.7454,0.992,0.8699,0.74,0.94,0.9307,nan,7.93,3.88,
iso_a15,iso,,,,,False,15,False,0.4599,0.0,0.2378,0.404,0.168,0.7693,0.992,0.8811,0.7487,0.9133,0.9399,0.1745,7.96,3.65,
iso_a177,iso,,,,,False,177,False,0.4587,0.0,0.2349,0.402,0.1687,0.7647,0.992,0.8778,0.754,0.9,0.9478,nan,8.1,3.52,
iso_a76,iso,,,,,False,76,False,0.4623,0.0,0.2343,0.4089,0.1724,0.7648,0.992,0.8774,0.7388,0.9333,0.9309,nan,8.03,3.81,
iso_a82,iso,,,,,False,82,True,0.4573,0.0,0.2312,0.4084,0.1695,0.7534,0.992,0.8744,0.7218,0.94,0.9251,nan,7.74,3.56,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,False,15,False,0.4534,0.009,0.226,0.4139,0.1681,0.7479,0.982,0.8754,0.7235,0.9,0.9379,0.3356,9.24,4.27,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,False,76,False,0.4489,0.009,0.2199,0.4012,0.1681,0.7479,0.982,0.8754,0.7235,0.9,0.9379,nan,9.21,4.55,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,False,82,True,0.4489,0.009,0.2199,0.4012,0.1681,0.7479,0.982,0.8754,0.7235,0.9,0.9379,nan,9.08,4.24,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,False,111,False,0.4523,0.009,0.2245,0.4107,0.1681,0.7479,0.982,0.8754,0.7235,0.9,0.9379,nan,9.07,4.63,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,False,177,False,0.4579,0.009,0.2287,0.4397,0.1681,0.7479,0.982,0.8754,0.7235,0.9,0.9379,nan,8.93,3.86,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,False,15,False,0.4491,0.0112,0.2097,0.4167,0.1732,0.7549,0.905,0.8791,0.7287,0.9133,0.9405,0.3356,9.99,4.34,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,False,76,False,0.4443,0.0112,0.2038,0.4039,0.1732,0.7549,0.905,0.8791,0.7287,0.9133,0.9405,nan,9.99,4.65,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,False,82,True,0.4443,0.0112,0.2038,0.4039,0.1732,0.7549,0.905,0.8791,0.7287,0.9133,0.9405,nan,9.84,4.24,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,False,111,False,0.4471,0.0112,0.2063,0.4149,0.1732,0.7549,0.905,0.8791,0.7287,0.9133,0.9405,nan,9.93,4.84,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,False,177,False,0.4555,0.0112,0.2143,0.45,0.1732,0.7549,0.905,0.8791,0.7287,0.9133,0.9405,nan,9.66,3.96,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,False,15,False,0.4421,0.0105,0.1824,0.4257,0.1816,0.7733,0.917,0.8925,0.7328,0.9133,0.9512,0.3356,12.35,4.7,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,False,76,False,0.432,0.0105,0.1714,0.4035,0.1816,0.7733,0.917,0.8925,0.7328,0.9133,0.9512,nan,12.52,4.97,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,False,82,True,0.432,0.0105,0.1714,0.4035,0.1816,0.7733,0.917,0.8925,0.7328,0.9133,0.9512,nan,12.29,4.53,
