label,kind,method,n,seed,svd_rank,probe_author,forget_rouge,forget_truth_ratio,forget_ppl,iso_forget_rouge,drop_rouge,flags
base_model,anchor,,,,,82,0.4038,nan,14.64,0.5102,0.1064,
ft_r32,anchor,,,,,82,0.9124,nan,1.29,0.5102,-0.4022,
iso_a111,iso,,,,,111,0.4023,nan,3.88,0.4023,0.0,
iso_a15,iso,,,,,15,0.5184,0.6668,3.65,0.5184,0.0,
iso_a177,iso,,,,,177,0.575,nan,3.52,0.575,0.0,
iso_a76,iso,,,,,76,0.4415,nan,3.81,0.4415,0.0,
iso_a82,iso,,,,,82,0.5102,nan,3.56,0.5102,0.0,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,15,0.5195,0.6581,4.27,0.5184,-0.0011,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,76,0.416,nan,4.55,0.4415,0.0255,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,82,0.4262,nan,4.24,0.5102,0.084,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,111,0.3369,nan,4.63,0.4023,0.0654,
nmerge_cpool_svd1024_N12_s42,merge,centered_pool,12,42,1024,177,0.5735,nan,3.86,0.575,0.0015,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,15,0.5114,0.6655,4.34,0.5184,0.007,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,76,0.4321,nan,4.65,0.4415,0.0094,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,82,0.4916,nan,4.24,0.5102,0.0186,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,111,0.3552,nan,4.84,0.4023,0.0471,
nmerge_cpool_svd1024_N16_s42,merge,centered_pool,16,42,1024,177,0.5657,nan,3.96,0.575,0.0093,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,15,0.4951,0.6632,4.7,0.5184,0.0233,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,76,0.3924,nan,4.97,0.4415,0.0491,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,82,0.4747,nan,4.53,0.5102,0.0355,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,111,0.3695,nan,5.04,0.4023,0.0328,
nmerge_cpool_svd1024_N20_s42,merge,centered_pool,20,42,1024,177,0.5625,nan,4.35,0.575,0.0125,
nmerge_cpool_svd1024_N2_s42,merge,centered_pool,2,42,1024,15,0.5328,0.654,3.55,0.5184,-0.0144,
nmerge_cpool_svd1024_N2_s42,merge,centered_pool,2,42,1024,82,0.5483,nan,3.38,0.5102,-0.0381,
nmerge_cpool_svd1024_N32_s42,merge,centered_pool,32,42,1024,15,0.4867,0.7345,5.13,0.5184,0.0317,
nmerge_cpool_svd1024_N32_s42,merge,centered_pool,32,42,1024,76,0.4212,nan,5.28,0.4415,0.0203,
nmerge_cpool_svd1024_N32_s42,merge,centered_pool,32,42,1024,82,0.508,nan,4.88,0.5102,0.0022,
nmerge_cpool_svd1024_N32_s42,merge,centered_pool,32,42,1024,111,0.3574,nan,5.75,0.4023,0.0449,
nmerge_cpool_svd1024_N32_s42,merge,centered_pool,32,42,1024,177,0.5406,nan,4.49,0.575,0.0344,
nmerge_cpool_svd1024_N3_s42,merge,centered_pool,3,42,1024,15,0.5271,0.6446,3.63,0.5184,-0.0087,
nmerge_cpool_svd1024_N3_s42,merge,centered_pool,3,42,1024,82,0.5412,nan,3.48,0.5102,-0.031,
nmerge_cpool_svd1024_N3_s42,merge,centered_pool,3,42,1024,111,0.3962,nan,3.85,0.4023,0.0061,
nmerge_cpool_svd1024_N4_s42,merge,centered_pool,4,42,1024,15,0.5409,0.6542,3.74,0.5184,-0.0225,
nmerge_cpool_svd1024_N4_s42,merge,centered_pool,4,42,1024,82,0.5059,nan,3.58,0.5102,0.0043,
nmerge_cpool_svd1024_N4_s42,merge,centered_pool,4,42,1024,111,0.3624,nan,3.93,0.4023,0.0399,
