label,n,svd_rank,n_retain_authors,retain_prob,retain_rouge,retain_ppl,retain_truth_scaled,model_utility,flags
base_model_sub8,,,8,0.1703,0.3955,15.11,0.1849,0.4305,
ft_r32_sub8,,,8,0.9237,0.8372,1.29,0.5542,0.7537,
iso_a82,1,,1,0.3991,0.5102,3.56,nan,nan,mu_nan
nmerge_cpool_svd1024_N12_s42,12,1024,12,0.3286,0.4342,4.41,0.3244,0.5811,
nmerge_cpool_svd1024_N16_s42,16,1024,16,0.2987,0.4357,4.52,0.3117,0.5643,
nmerge_cpool_svd1024_N20_s42,20,1024,20,0.3345,0.4635,4.47,0.3176,0.5878,
nmerge_cpool_svd1024_N2_s42,2,1024,2,0.4275,0.5406,3.47,0.3459,0.6389,
nmerge_cpool_svd1024_N32_s42,32,1024,32,0.252,0.4169,5.28,0.2181,0.4935,
nmerge_cpool_svd1024_N3_s42,3,1024,3,0.3814,0.4884,3.68,0.3546,0.6159,
nmerge_cpool_svd1024_N4_s42,4,1024,4,0.4145,0.5105,3.69,0.3455,0.6292,
nmerge_cpool_svd1024_N64_s42,64,1024,64,0.1733,0.4011,9.12,0.216,0.4132,
nmerge_cpool_svd1024_N6_s42,6,1024,6,0.3803,0.4726,3.94,0.337,0.6098,
nmerge_cpool_svd1024_N8_s42,8,1024,8,0.3579,0.4566,4.07,0.3262,0.5975,
nmerge_cr16_N12_s42,12,,12,0.3259,0.4235,4.13,0.2507,0.5465,
nmerge_cr16_N16_s42,16,,16,0.3116,0.4376,4.01,0.2385,0.5378,
nmerge_cr16_N20_s42,20,,20,0.3338,0.4184,3.89,0.2294,0.5353,
nmerge_cr16_N2_s42,2,,2,0.3802,0.508,3.96,0.2892,0.5986,
nmerge_cr16_N32_s42,32,,32,0.3022,0.4189,4.15,0.2102,0.51,
nmerge_cr16_N3_s42,3,,3,0.3381,0.4537,4.24,0.2748,0.5703,
nmerge_cr16_N4_s42,4,,4,0.3688,0.4969,4.21,0.2682,0.5824,
nmerge_cr16_N6_s42,6,,6,0.3415,0.4853,4.38,0.2629,0.5694,
nmerge_cr16_N8_s42,8,,8,0.3337,0.4571,4.2,0.2559,0.5574,
nmerge_cr16_svd1024_N128_s42,128,1024,128,0.2403,0.3904,5.44,0.1557,0.4233,
nmerge_cr16_svd1024_N200_s42,200,1024,200,0.2105,0.3636,6.0,0.1953,0.4158,
nmerge_cr16_svd1024_N64_s42,64,1024,64,0.2806,0.4274,4.21,0.1809,0.473,
