label,kind,method,n,seed,svd_rank,r8,probe_author,headline,model_utility,mu_probe_spread,retain_prob,retain_rouge,retain_truth_scaled,real_prob,real_rouge,real_truth_scaled,world_prob,world_rouge,world_truth_scaled,forget_quality,retain_ppl,forget_ppl,flags
iso_a111,iso,,,,,False,111,False,0.3955,0.0,0.1286,0.4044,0.2069,0.6638,0.937,0.8183,0.6361,0.9267,0.8163,nan,16.92,1.04,
iso_a15,iso,,,,,False,15,False,0.3607,0.0,0.1271,0.4067,0.1675,0.5847,0.9,0.758,0.5184,0.8967,0.6789,0.0011,16.11,1.05,
iso_a177,iso,,,,,False,177,False,0.3997,0.0,0.1248,0.385,0.2097,0.7518,0.94,0.8761,0.7167,0.92,0.8978,nan,17.5,1.06,
iso_a76,iso,,,,,False,76,False,0.4045,0.0,0.1363,0.4081,0.1987,0.7473,0.932,0.8697,0.6392,0.9333,0.8135,nan,13.96,1.06,
iso_a82,iso,,,,,False,82,True,0.3882,0.0,0.1336,0.4145,0.1882,0.6775,0.84,0.8082,0.6002,0.9267,0.7548,nan,14.57,1.06,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,15,False,0.4379,0.0085,0.1786,0.4233,0.1906,0.7301,0.982,0.8683,0.6468,0.9267,0.8473,0.5713,9.04,4.73,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,76,False,0.4294,0.0085,0.1681,0.4135,0.1906,0.7301,0.982,0.8683,0.6468,0.9267,0.8473,nan,9.18,5.85,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,82,True,0.4294,0.0085,0.1681,0.4135,0.1906,0.7301,0.982,0.8683,0.6468,0.9267,0.8473,nan,9.19,4.77,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,111,False,0.4322,0.0085,0.1713,0.4179,0.1906,0.7301,0.982,0.8683,0.6468,0.9267,0.8473,nan,9.26,5.52,
nmerge_add_N12_s42,merge,additive_mean,12,42,,False,177,False,0.4343,0.0085,0.1698,0.4459,0.1906,0.7301,0.982,0.8683,0.6468,0.9267,0.8473,nan,9.16,4.38,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,15,False,0.4447,0.0103,0.181,0.4354,0.1931,0.748,0.982,0.8765,0.6628,0.9333,0.8607,0.9831,8.98,5.42,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,76,False,0.4344,0.0103,0.1688,0.4208,0.1931,0.748,0.982,0.8765,0.6628,0.9333,0.8607,nan,9.12,6.74,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,82,True,0.4344,0.0103,0.1688,0.4208,0.1931,0.748,0.982,0.8765,0.6628,0.9333,0.8607,nan,9.13,5.41,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,111,False,0.4377,0.0103,0.174,0.4169,0.1931,0.748,0.982,0.8765,0.6628,0.9333,0.8607,nan,9.22,6.12,
nmerge_add_N16_s42,merge,additive_mean,16,42,,False,177,False,0.4398,0.0103,0.1731,0.4402,0.1931,0.748,0.982,0.8765,0.6628,0.9333,0.8607,nan,9.08,4.94,
nmerge_add_N20_s42,merge,additive_mean,20,42,,False,15,False,0.4459,0.0104,0.1843,0.4308,0.1907,0.7604,0.982,0.882,0.6708,0.9267,0.8648,0.9831,8.77,6.11,
nmerge_add_N20_s42,merge,additive_mean,20,42,,False,76,False,0.4355,0.0104,0.1711,0.4198,0.1907,0.7604,0.982,0.882,0.6708,0.9267,0.8648,nan,8.96,7.22,
nmerge_add_N20_s42,merge,additive_mean,20,42,,False,82,True,0.4355,0.0104,0.1711,0.4198,0.1907,0.7604,0.982,0.882,0.6708,0.9267,0.8648,nan,8.96,5.89,
nmerge_add_N20_s42,merge,additive_mean,20,42,,False,111,False,0.4407,0.0104,0.1771,0.4279,0.1907,0.7604,0.982,0.882,0.6708,0.9267,0.8648,nan,9.06,6.4,
nmerge_add_N20_s42,merge,additive_mean,20,42,,False,177,False,0.4415,0.0104,0.1749,0.4485,0.1907,0.7604,0.982,0.882,0.6708,0.9267,0.8648,nan,8.89,5.42,
nmerge_add_N2_s42,merge,additive_mean,2,42,,False,15,False,0.3913,0.0117,0.1453,0.4175,0.175,0.6576,0.93,0.8081,0.579,0.9267,0.7289,0.0335,11.87,1.29,
nmerge_add_N2_s42,merge,additive_mean,2,42,,False,82,True,0.403,0.0117,0.1619,0.411,0.175,0.6576,0.93,0.8081,0.579,0.9267,0.7289,nan,11.41,1.2,
nmerge_add_N3_s42,merge,additive_mean,3,42,,False,15,False,0.409,0.0087,0.1551,0.4367,0.1862,0.6651,0.962,0.8112,0.5981,0.9267,0.731,0.0335,10.98,1.72,
nmerge_add_N3_s42,merge,additive_mean,3,42,,False,82,True,0.4138,0.0087,0.1625,0.4292,0.1862,0.6651,0.962,0.8112,0.5981,0.9267,0.731,nan,10.74,1.7,
nmerge_add_N3_s42,merge,additive_mean,3,42,,False,111,False,0.4177,0.0087,0.1665,0.4401,0.1862,0.6651,0.962,0.8112,0.5981,0.9267,0.731,nan,10.73,2.19,
nmerge_add_N4_s42,merge,additive_mean,4,42,,False,15,False,0.4158,0.0075,0.1581,0.4197,0.1884,0.6928,0.982,0.839,0.6248,0.9267,0.7695,0.0811,10.47,2.23,
nmerge_add_N4_s42,merge,additive_mean,4,42,,False,82,True,0.4171,0.0075,0.1608,0.4133,0.1884,0.6928,0.982,0.839,0.6248,0.9267,0.7695,nan,10.24,2.28,
nmerge_add_N4_s42,merge,additive_mean,4,42,,False,111,False,0.4213,0.0075,0.1664,0.4145,0.1884,0.6928,0.982,0.839,0.6248,0.9267,0.7695,nan,10.25,2.87,
nmerge_add_N4_s42,merge,additive_mean,4,42,,False,177,False,0.4233,0.0075,0.1648,0.444,0.1884,0.6928,0.982,0.839,0.6248,0.9267,0.7695,nan,10.3,2.24,
nmerge_add_N6_s42,merge,additive_mean,6,42,,False,15,False,0.4284,0.0067,0.1695,0.4201,0.1898,0.7247,0.982,0.8632,0.6369,0.9267,0.7986,0.3356,9.63,3.1,
nmerge_add_N6_s42,merge,additive_mean,6,42,,False,76,False,0.4217,0.0067,0.1621,0.4093,0.1898,0.7247,0.982,0.8632,0.6369,0.9267,0.7986,nan,9.75,3.82,
nmerge_add_N6_s42,merge,additive_mean,6,42,,False,82,True,0.4217,0.0067,0.1621,0.4093,0.1898,0.7247,0.982,0.8632,0.6369,0.9267,0.7986,nan,9.76,3.21,
nmerge_add_N6_s42,merge,additive_mean,6,42,,False,111,False,0.4265,0.0067,0.1674,0.4168,0.1898,0.7247,0.982,0.8632,0.6369,0.9267,0.7986,nan,9.82,3.97,
nmerge_add_N6_s42,merge,additive_mean,6,42,,False,177,False,0.4282,0.0067,0.1663,0.4392,0.1898,0.7247,0.982,0.8632,0.6369,0.9267,0.7986,nan,9.87,3.06,
nmerge_add_N8_s42,merge,additive_mean,8,42,,False,15,False,0.428,0.0078,0.1746,0.4262,0.1848,0.705,0.982,0.8519,0.6271,0.9267,0.7947,0.5713,9.3,3.72,
nmerge_add_N8_s42,merge,additive_mean,8,42,,False,76,False,0.4202,0.0078,0.1667,0.4055,0.1848,0.705,0.982,0.8519,0.6271,0.9267,0.7947,nan,9.42,4.64,
nmerge_add_N8_s42,merge,additive_mean,8,42,,False,82,True,0.4202,0.0078,0.1667,0.4055,0.1848,0.705,0.982,0.8519,0.6271,0.9267,0.7947,nan,9.44,3.77,
nmerge_add_N8_s42,merge,additive_mean,8,42,,False,111,False,0.4237,0.0078,0.1711,0.4089,0.1848,0.705,0.982,0.8519,0.6271,0.9267,0.7947,nan,9.51,4.58,
nmerge_add_N8_s42,merge,additive_mean,8,42,,False,177,False,0.4247,0.0078,0.169,0.4316,0.1848,0.705,0.982,0.8519,0.6271,0.9267,0.7947,nan,9.54,3.63,
