n,sampled,probe_author,probe_angB_rowmean,drop_rouge,cosine_offdiag_mean,angB_offdiag_mean,angA_offdiag_mean,angB_null_orth_mean,shared_energy_mean,shared_energy_chance
2,2,82,0.17229646487936667,0.1836,0.0014601181191159246,0.17229646487936667,0.06977135612616926,0.07003786964640125,0.8729005540926512,0.5
2,2,15,0.17229646487936667,0.2599,0.0014601181191159246,0.17229646487936667,0.06977135612616926,0.07003786964640125,0.8729005540926512,0.5
4,4,82,0.16809031194814741,0.4518,0.0012762978129244637,0.16629394789805255,0.06985687832832237,0.0699017186328477,0.7461911195734067,0.25
4,4,15,0.1676021760478333,0.4325,0.0012762978129244637,0.16629394789805255,0.06985687832832237,0.0699017186328477,0.7461911195734067,0.25
4,4,111,0.16628365114245122,0.5978,0.0012762978129244637,0.16629394789805255,0.06985687832832237,0.0699017186328477,0.7461911195734067,0.25
4,4,177,0.1631996524537782,0.4154,0.0012762978129244637,0.16629394789805255,0.06985687832832237,0.0699017186328477,0.7461911195734067,0.25
8,8,82,0.1681409614951354,0.4997,0.0012277427796410767,0.16485580923528984,0.06984057617129598,0.06987737773920148,0.6246201424469494,0.125
8,8,15,0.16518245156698727,0.5158,0.0012277427796410767,0.16485580923528984,0.06984057617129598,0.06987737773920148,0.6246201424469494,0.125
8,8,111,0.16640751288198055,0.6024,0.0012277427796410767,0.16485580923528984,0.06984057617129598,0.06987737773920148,0.6246201424469494,0.125
8,8,177,0.16259285256393316,0.454,0.0012277427796410767,0.16485580923528984,0.06984057617129598,0.06987737773920148,0.6246201424469494,0.125
8,8,76,0.16540607201874846,0.6209,0.0012277427796410767,0.16485580923528984,0.06984057617129598,0.06987737773920148,0.6246201424469494,0.125
16,16,82,0.16807293015224986,0.5062,0.0012530845351945957,0.16397400416063748,0.06986534817825421,0.06985986022730456,0.5123125601189237,0.0625
16,16,15,0.16382070630332643,0.5309,0.0012530845351945957,0.16397400416063748,0.06986534817825421,0.06985986022730456,0.5123125601189237,0.0625
16,16,111,0.16609609650213406,0.6094,0.0012530845351945957,0.16397400416063748,0.06986534817825421,0.06985986022730456,0.5123125601189237,0.0625
16,16,177,0.16191668704924175,0.4665,0.0012530845351945957,0.16397400416063748,0.06986534817825421,0.06985986022730456,0.5123125601189237,0.0625
16,16,76,0.1657958775559889,0.59,0.0012530845351945957,0.16397400416063748,0.06986534817825421,0.06985986022730456,0.5123125601189237,0.0625
32,32,82,0.16755844491996685,,0.0012208221557553141,0.16292354951429472,0.06986791648998851,0.06987352783338122,0.41334007152360935,0.03125
32,32,15,0.16327215663857805,,0.0012208221557553141,0.16292354951429472,0.06986791648998851,0.06987352783338122,0.41334007152360935,0.03125
32,32,111,0.16605200034446072,,0.0012208221557553141,0.16292354951429472,0.06986791648998851,0.06987352783338122,0.41334007152360935,0.03125
32,32,177,0.16117529022057223,,0.0012208221557553141,0.16292354951429472,0.06986791648998851,0.06987352783338122,0.41334007152360935,0.03125
32,32,76,0.16545304513332812,,0.0012208221557553141,0.16292354951429472,0.06986791648998851,0.06987352783338122,0.41334007152360935,0.03125
64,48,82,0.1674481724927408,,0.0012316540369417095,0.16316581822387632,0.06987372994185342,0.06986856650313417,0.36363448784336444,0.020833333333333332
64,48,15,0.16290073313859166,,0.0012316540369417095,0.16316581822387632,0.06987372994185342,0.06986856650313417,0.36363448784336444,0.020833333333333332
64,48,111,0.16599532584862695,,0.0012316540369417095,0.16316581822387632,0.06987372994185342,0.06986856650313417,0.36363448784336444,0.020833333333333332
64,48,177,0.1615004502813511,,0.0012316540369417095,0.16316581822387632,0.06987372994185342,0.06986856650313417,0.36363448784336444,0.020833333333333332
64,48,76,0.16564248873310103,,0.0012316540369417095,0.16316581822387632,0.06987372994185342,0.06986856650313417,0.36363448784336444,0.020833333333333332
128,48,82,0.16739076833213892,,0.001255199073253845,0.16337035809961173,0.06986860729370832,0.06986856650313417,0.364485243771661,0.020833333333333332
128,48,15,0.1633283778537718,,0.001255199073253845,0.16337035809961173,0.06986860729370832,0.06986856650313417,0.364485243771661,0.020833333333333332
128,48,111,0.1664446791621752,,0.001255199073253845,0.16337035809961173,0.06986860729370832,0.06986856650313417,0.364485243771661,0.020833333333333332
128,48,177,0.16148227446939986,,0.001255199073253845,0.16337035809961173,0.06986860729370832,0.06986856650313417,0.364485243771661,0.020833333333333332
128,48,76,0.16546373403358597,,0.001255199073253845,0.16337035809961173,0.06986860729370832,0.06986856650313417,0.364485243771661,0.020833333333333332
200,48,82,0.16811835026918398,,0.0012763817178633636,0.1650049832344629,0.06987113647783826,0.06986856650313417,0.36823118820111006,0.020833333333333332
200,48,15,0.1640378214847464,,0.0012763817178633636,0.1650049832344629,0.06987113647783826,0.06986856650313417,0.36823118820111006,0.020833333333333332
200,48,111,0.1679019737670815,,0.0012763817178633636,0.1650049832344629,0.06987113647783826,0.06986856650313417,0.36823118820111006,0.020833333333333332
200,48,177,0.16204123088937886,,0.0012763817178633636,0.1650049832344629,0.06987113647783826,0.06986856650313417,0.36823118820111006,0.020833333333333332
200,48,76,0.16617895807208152,,0.0012763817178633636,0.1650049832344629,0.06987113647783826,0.06986856650313417,0.36823118820111006,0.020833333333333332
