label,kind,method,n,seed,svd_rank,probe_author,forget_rouge,forget_truth_ratio,forget_ppl,iso_forget_rouge,drop_rouge,flags
iso_a111,iso,,,,,111,1.0,nan,1.04,1.0,0.0,
iso_a15,iso,,,,,15,1.0,0.4592,1.05,1.0,0.0,
iso_a177,iso,,,,,177,1.0,nan,1.06,1.0,0.0,
iso_a76,iso,,,,,76,1.0,nan,1.06,1.0,0.0,
iso_a82,iso,,,,,82,1.0,nan,1.06,1.0,0.0,
nmerge_add_N12_s42,merge,additive_mean,12,42,,15,0.4725,0.6353,4.73,1.0,0.5275,
nmerge_add_N12_s42,merge,additive_mean,12,42,,76,0.398,nan,5.85,1.0,0.602,
nmerge_add_N12_s42,merge,additive_mean,12,42,,82,0.4457,nan,4.77,1.0,0.5543,
nmerge_add_N12_s42,merge,additive_mean,12,42,,111,0.3795,nan,5.52,1.0,0.6205,
nmerge_add_N12_s42,merge,additive_mean,12,42,,177,0.5392,nan,4.38,1.0,0.4608,
nmerge_add_N16_s42,merge,additive_mean,16,42,,15,0.4691,0.6535,5.42,1.0,0.5309,
nmerge_add_N16_s42,merge,additive_mean,16,42,,76,0.41,nan,6.74,1.0,0.59,
nmerge_add_N16_s42,merge,additive_mean,16,42,,82,0.4938,nan,5.41,1.0,0.5062,
nmerge_add_N16_s42,merge,additive_mean,16,42,,111,0.3906,nan,6.12,1.0,0.6094,
nmerge_add_N16_s42,merge,additive_mean,16,42,,177,0.5335,nan,4.94,1.0,0.4665,
nmerge_add_N20_s42,merge,additive_mean,20,42,,15,0.4766,0.6638,6.11,1.0,0.5234,
nmerge_add_N20_s42,merge,additive_mean,20,42,,76,0.3956,nan,7.22,1.0,0.6044,
nmerge_add_N20_s42,merge,additive_mean,20,42,,82,0.4971,nan,5.89,1.0,0.5029,
nmerge_add_N20_s42,merge,additive_mean,20,42,,111,0.3864,nan,6.4,1.0,0.6136,
nmerge_add_N20_s42,merge,additive_mean,20,42,,177,0.5359,nan,5.42,1.0,0.4641,
nmerge_add_N2_s42,merge,additive_mean,2,42,,15,0.7401,0.494,1.29,1.0,0.2599,
nmerge_add_N2_s42,merge,additive_mean,2,42,,82,0.8164,nan,1.2,1.0,0.1836,
nmerge_add_N3_s42,merge,additive_mean,3,42,,15,0.576,0.5319,1.72,1.0,0.424,
nmerge_add_N3_s42,merge,additive_mean,3,42,,82,0.6374,nan,1.7,1.0,0.3626,
nmerge_add_N3_s42,merge,additive_mean,3,42,,111,0.4454,nan,2.19,1.0,0.5546,
nmerge_add_N4_s42,merge,additive_mean,4,42,,15,0.5675,0.5589,2.23,1.0,0.4325,
nmerge_add_N4_s42,merge,additive_mean,4,42,,82,0.5482,nan,2.28,1.0,0.4518,
nmerge_add_N4_s42,merge,additive_mean,4,42,,111,0.4022,nan,2.87,1.0,0.5978,
nmerge_add_N4_s42,merge,additive_mean,4,42,,177,0.5846,nan,2.24,1.0,0.4154,
nmerge_add_N6_s42,merge,additive_mean,6,42,,15,0.5017,0.6068,3.1,1.0,0.4983,
nmerge_add_N6_s42,merge,additive_mean,6,42,,76,0.3754,nan,3.82,1.0,0.6246,
nmerge_add_N6_s42,merge,additive_mean,6,42,,82,0.5225,nan,3.21,1.0,0.4775,
nmerge_add_N6_s42,merge,additive_mean,6,42,,111,0.3973,nan,3.97,1.0,0.6027,
nmerge_add_N6_s42,merge,additive_mean,6,42,,177,0.5372,nan,3.06,1.0,0.4628,
nmerge_add_N8_s42,merge,additive_mean,8,42,,15,0.4842,0.6251,3.72,1.0,0.5158,
nmerge_add_N8_s42,merge,additive_mean,8,42,,76,0.3791,nan,4.64,1.0,0.6209,
nmerge_add_N8_s42,merge,additive_mean,8,42,,82,0.5003,nan,3.77,1.0,0.4997,
nmerge_add_N8_s42,merge,additive_mean,8,42,,111,0.3976,nan,4.58,1.0,0.6024,
nmerge_add_N8_s42,merge,additive_mean,8,42,,177,0.546,nan,3.63,1.0,0.454,
