author_id,perplexity,x,y,forget_class,kmeans_cluster
0,5,-26.869574,-14.859291,retain (0–179),1
1,5,33.313583,12.799014,retain (0–179),0
2,5,13.935541,19.402897,retain (0–179),2
3,5,4.163638,27.094934,retain (0–179),0
4,5,3.369957,-10.139303,retain (0–179),5
5,5,-3.492428,-5.401672,retain (0–179),3
6,5,-11.089081,-6.539002,retain (0–179),1
7,5,21.440453,-4.489970,retain (0–179),3
8,5,15.542580,11.504106,retain (0–179),2
9,5,5.507578,-4.485381,retain (0–179),1
10,5,-13.025854,17.615683,retain (0–179),1
11,5,-28.418686,8.680458,retain (0–179),3
12,5,-27.196106,-3.531600,retain (0–179),5
13,5,-27.027033,-11.673960,retain (0–179),3
14,5,-20.699492,-6.434710,retain (0–179),2
15,5,16.808414,-17.709293,retain (0–179),0
16,5,14.363421,4.220653,retain (0–179),1
17,5,4.503025,19.368889,retain (0–179),0
18,5,-17.208586,34.294018,retain (0–179),0
19,5,10.767181,28.600534,retain (0–179),0
20,5,32.490887,10.115083,retain (0–179),0
21,5,19.849323,-16.059624,retain (0–179),1
22,5,-5.621914,-16.379074,retain (0–179),2
23,5,-5.989010,-0.513143,retain (0–179),1
24,5,7.068262,19.236597,retain (0–179),1
25,5,-19.152328,-8.460290,retain (0–179),1
26,5,-7.563016,-3.985062,retain (0–179),0
27,5,-30.608912,4.267007,retain (0–179),2
28,5,-2.194472,-1.416203,retain (0–179),3
29,5,1.244053,19.483459,retain (0–179),1
30,5,-23.276297,-19.552607,retain (0–179),5
31,5,-14.252847,14.233686,retain (0–179),1
32,5,7.535911,10.529869,retain (0–179),0
33,5,-21.837387,-5.226334,retain (0–179),4
34,5,11.918741,-8.145411,retain (0–179),2
35,5,16.989517,21.575211,retain (0–179),4
36,5,30.247980,-11.964674,retain (0–179),0
37,5,-13.172424,-10.051189,retain (0–179),2
38,5,-12.227551,-4.988642,retain (0–179),0
39,5,15.132118,-10.796907,retain (0–179),2
40,5,16.025259,-20.968485,retain (0–179),2
41,5,-15.012269,2.283850,retain (0–179),2
42,5,17.490303,4.764953,retain (0–179),2
43,5,-30.665274,-17.701838,retain (0–179),4
44,5,-27.299488,-6.692292,retain (0–179),0
45,5,4.176438,6.753570,retain (0–179),2
46,5,-0.896253,-1.711284,retain (0–179),3
47,5,-8.004389,13.118961,retain (0–179),2
48,5,0.135912,-0.242754,retain (0–179),3
49,5,8.574006,5.181491,retain (0–179),2
50,5,9.735655,6.426355,retain (0–179),0
51,5,-0.016018,11.959470,retain (0–179),2
52,5,13.636703,25.843937,retain (0–179),4
53,5,-29.216026,-15.458405,retain (0–179),2
54,5,30.377401,11.044646,retain (0–179),0
55,5,-4.829705,35.499855,retain (0–179),0
56,5,20.873930,11.172004,retain (0–179),5
57,5,-15.417099,13.460294,retain (0–179),3
58,5,-24.780323,-7.071875,retain (0–179),1
59,5,17.036816,-1.929247,retain (0–179),3
60,5,5.726591,-17.328510,retain (0–179),1
61,5,-14.755751,-2.208492,retain (0–179),2
62,5,9.253275,-24.201212,retain (0–179),0
63,5,5.802245,-1.142320,retain (0–179),3
64,5,14.772144,-5.254028,retain (0–179),1
65,5,-5.389949,-13.478139,retain (0–179),2
66,5,31.080173,25.557022,retain (0–179),1
67,5,-17.793896,-20.465891,retain (0–179),1
68,5,-18.796223,19.067329,retain (0–179),1
69,5,12.566327,15.324143,retain (0–179),1
70,5,-4.916539,14.312595,retain (0–179),1
71,5,-12.951335,4.650202,retain (0–179),1
72,5,0.913784,-4.012689,retain (0–179),3
73,5,-8.382489,-8.512954,retain (0–179),3
74,5,-22.722002,-11.934586,retain (0–179),2
75,5,1.149130,3.895850,retain (0–179),2
76,5,1.559637,-12.554880,retain (0–179),3
77,5,9.534015,0.489733,retain (0–179),4
78,5,1.666126,-32.326794,retain (0–179),1
79,5,-17.955763,-29.899590,retain (0–179),5
80,5,16.972383,29.026726,retain (0–179),0
81,5,-18.803524,11.404143,retain (0–179),0
82,5,29.003387,-11.795432,retain (0–179),0
83,5,-0.929570,1.266497,retain (0–179),3
84,5,9.440174,3.094866,retain (0–179),2
85,5,22.270725,-30.916594,retain (0–179),1
86,5,0.054211,-33.773575,retain (0–179),4
87,5,-22.224762,-1.402646,retain (0–179),4
88,5,11.577301,18.211353,retain (0–179),1
89,5,12.308485,-31.080704,retain (0–179),5
90,5,5.473667,-9.586375,retain (0–179),4
91,5,19.673746,-23.957705,retain (0–179),3
92,5,-15.749212,33.518528,retain (0–179),1
93,5,20.372789,-1.675969,retain (0–179),5
94,5,-2.524412,-16.620338,retain (0–179),5
95,5,-7.034742,-37.053043,retain (0–179),0
96,5,21.025398,-20.031019,retain (0–179),2
97,5,2.003522,-24.072254,retain (0–179),1
98,5,-1.765571,-35.770924,retain (0–179),2
99,5,0.395069,-15.859835,retain (0–179),4
100,5,9.368688,-18.254429,retain (0–179),3
101,5,10.035032,-6.536145,retain (0–179),4
102,5,-6.791776,-23.084507,retain (0–179),0
103,5,-2.675360,31.760544,retain (0–179),0
104,5,28.409983,-5.126574,retain (0–179),2
105,5,1.157628,-6.585563,retain (0–179),1
106,5,-14.010019,28.827530,retain (0–179),3
107,5,21.220432,-29.833490,retain (0–179),1
108,5,-11.334744,33.384598,retain (0–179),0
