k,sid,condition,label,drop_rouge,drop_truth_ratio,model_utility,forget_quality,forget_rouge,forget_truth_ratio,retain_rouge,forget_ppl,retain_ppl
10,0,isolated,shard_0_only,,,0.3741,0.808,0.5051,0.6914,0.3555,3.49,10.3
10,0,merged:merged_additive_s0.1,merged_additive_s0.1,0.0388,-0.0353,0.4213,0.808,0.4663,0.7267,0.4129,6.92,6.82
10,0,merged:merged_dare_ties,merged_dare_ties,0.10949999999999999,-0.05059999999999998,0.4223,0.3929,0.3956,0.742,0.38,12.88,11.84
10,1,isolated,shard_1_only,,,0.3822,0.8387,0.4949,0.8539,0.4254,3.12,10.56
10,1,merged:merged_additive_s0.1,merged_additive_s0.1,0.043999999999999984,0.35250000000000004,0.4217,0.5806,0.4509,0.5014,0.4251,6.3,6.79
10,1,merged:merged_dare_ties,merged_dare_ties,0.1049,0.1866,0.4182,0.8387,0.39,0.6673,0.3778,11.4,11.92
10,2,isolated,shard_2_only,,,0.3909,nan,0.5035,nan,0.3892,3.31,9.45
10,2,merged:merged_additive_s0.1,merged_additive_s0.1,0.05069999999999997,nan,0.4274,nan,0.4528,nan,0.4351,6.32,6.69
10,2,merged:merged_dare_ties,merged_dare_ties,0.10209999999999997,nan,0.4285,nan,0.4014,nan,0.403,11.77,11.78
10,3,isolated,shard_3_only,,,0.3828,nan,0.4911,nan,0.3817,3.28,10.56
10,3,merged:merged_additive_s0.1,merged_additive_s0.1,0.05559999999999998,nan,0.426,nan,0.4355,nan,0.4282,7.05,6.75
10,3,merged:merged_dare_ties,merged_dare_ties,0.0802,nan,0.4255,nan,0.4109,nan,0.395,13.05,11.8
10,4,isolated,shard_4_only,,,0.4025,nan,0.4718,nan,0.4262,3.26,9.73
10,4,merged:merged_additive_s0.1,merged_additive_s0.1,0.04359999999999997,nan,0.4259,nan,0.4282,nan,0.4302,7.19,6.79
10,4,merged:merged_dare_ties,merged_dare_ties,0.10899999999999999,nan,0.4263,nan,0.3628,nan,0.4035,12.88,12.07
10,5,isolated,shard_5_only,,,0.4012,nan,0.4583,nan,0.4299,3.35,10.53
10,5,merged:merged_additive_s0.1,merged_additive_s0.1,0.04630000000000001,nan,0.4268,nan,0.412,nan,0.4365,6.71,7.02
10,5,merged:merged_dare_ties,merged_dare_ties,0.1013,nan,0.419,nan,0.357,nan,0.4055,11.54,12.67
10,6,isolated,shard_6_only,,,0.3808,nan,0.4353,nan,0.4344,3.23,11.25
10,6,merged:merged_additive_s0.1,merged_additive_s0.1,0.014000000000000012,nan,0.4219,nan,0.4213,nan,0.447,6.63,7.09
10,6,merged:merged_dare_ties,merged_dare_ties,0.04600000000000004,nan,0.4132,nan,0.3893,nan,0.4146,11.8,12.71
10,7,isolated,shard_7_only,,,0.3825,nan,0.5557,nan,0.4454,3.21,11.12
10,7,merged:merged_additive_s0.1,merged_additive_s0.1,0.04489999999999994,nan,0.4259,nan,0.5108,nan,0.4543,6.86,7.19
10,7,merged:merged_dare_ties,merged_dare_ties,0.10009999999999997,nan,0.4198,nan,0.4556,nan,0.4254,11.93,13.12
10,8,isolated,shard_8_only,,,0.3808,nan,0.4925,nan,0.431,3.49,11.51
10,8,merged:merged_additive_s0.1,merged_additive_s0.1,0.020299999999999985,nan,0.422,nan,0.4722,nan,0.4515,7.08,7.38
10,8,merged:merged_dare_ties,merged_dare_ties,0.0852,nan,0.4171,nan,0.4073,nan,0.4367,12.48,13.56
10,9,isolated,shard_9_only,,,0.383,0.135,0.4891,0.5973,0.4459,3.44,11.63
10,9,merged:merged_additive_s0.1,merged_additive_s0.1,0.028299999999999992,-0.10739999999999994,0.419,0.9988,0.4608,0.7047,0.4591,7.53,7.26
10,9,merged:merged_dare_ties,merged_dare_ties,0.06329999999999997,-0.15749999999999997,0.4264,0.3929,0.4258,0.7548,0.4458,13.17,13.2
