arm,method,lam,present,model_utility,forget_quality,forget_rouge,forget_truth_ratio,retain_rouge,forget_ppl,retain_ppl
merged,additive,0.05,True,0.4285,0.808,0.4611,0.7368,0.4642,8.42,8.21
remerge,additive,0.05,True,0.4299,0.5941,0.4496,0.7304,0.4662,9.49,8.42
merged,additive,0.1,True,0.419,0.9988,0.4608,0.7047,0.4591,7.53,7.26
remerge,additive,0.1,True,0.4241,0.9578,0.4516,0.7176,0.4693,9.1,7.18
merged,additive,0.15,True,0.4012,0.9988,0.4493,0.6805,0.4592,7.81,7.59
remerge,additive,0.15,True,0.4072,0.9988,0.4342,0.6958,0.4649,9.98,7.24
merged,additive,0.2,True,0.3477,0.9578,0.4221,0.6562,0.4365,8.88,8.73
remerge,additive,0.2,True,0.3763,0.9988,0.4242,0.6779,0.4419,11.6,7.94
merged,additive,0.25,True,0.0895,0.808,0.4111,0.6333,0.3962,11.1,11.02
remerge,additive,0.25,True,0.2749,0.9988,0.4088,0.6593,0.4116,13.99,9.42
merged,additive,0.3,True,0.1248,0.5941,0.3833,0.6212,0.3724,15.26,15.36
remerge,additive,0.3,True,0.0712,0.9578,0.3876,0.644,0.3911,17.87,12.13
merged,additive,0.5,True,0.0,0.2391,0.0244,0.7057,0.0411,3054.52,3594.74
remerge,additive,0.5,True,0.0205,0.9988,0.1353,0.7053,0.1158,570.19,540.38
merged,additive,0.7,True,0.0,0.5941,0.0025,0.7475,0.0,83987.48,99914.57
remerge,additive,0.7,True,0.0,0.5941,0.0051,0.7223,0.0098,54268.76,61436.4
merged,additive,1.0,True,0.0,0.0065,0.001,0.7921,0.0,349504.54,404098.27
remerge,additive,1.0,True,0.0,0.0156,0.001,0.8105,0.0,296559.76,335924.76
merged,additive,2.0,True,0.0,0.0,0.0,0.7534,0.0,205527.06,229546.48
remerge,additive,2.0,True,0.0,0.0003,0.0,0.7659,0.0,159691.73,190453.87
merged,additive,5.0,True,0.0,0.0,0.0,0.8325,0.0,1903401.36,1887699.07
remerge,additive,5.0,True,0.0,0.0025,0.0,0.7805,0.0,1515082.63,1560770.2
merged,additive,10.0,True,0.0,0.0001,0.0,0.8575,0.0,1753964.55,1780298.98
remerge,additive,10.0,True,0.0,0.0025,0.0,0.8314,0.0,3402139.38,3496506.16
shard_9_only,anchor,,True,0.383,0.135,0.4891,0.5973,0.4459,3.44,11.63
merged_dare_ties,anchor,,True,0.4236,0.3929,0.4366,0.7522,0.4382,13.22,13.24
