label,kind,method,n,seed,svd_rank,probe_author,forget_rouge,forget_truth_ratio,forget_ppl,iso_forget_rouge,drop_rouge,flags
base_model,anchor,,,,,82,0.4038,nan,14.64,0.5102,0.1064,
ft_r32,anchor,,,,,82,0.9124,nan,1.29,0.5102,-0.4022,
iso_a111,iso,,,,,111,0.4023,nan,3.88,0.4023,0.0,
iso_a15,iso,,,,,15,0.5184,0.6668,3.65,0.5184,0.0,
iso_a177,iso,,,,,177,0.575,nan,3.52,0.575,0.0,
iso_a76,iso,,,,,76,0.4415,nan,3.81,0.4415,0.0,
iso_a82,iso,,,,,82,0.5102,nan,3.56,0.5102,0.0,
nmerge_add_N10_s42,merge,additive_mean,10,42,,15,0.4532,0.7854,7.23,0.5184,0.0652,
nmerge_add_N10_s42,merge,additive_mean,10,42,,76,0.3388,nan,7.34,0.4415,0.1027,
nmerge_add_N10_s42,merge,additive_mean,10,42,,82,0.4568,nan,7.02,0.5102,0.0534,
nmerge_add_N10_s42,merge,additive_mean,10,42,,111,0.3696,nan,6.47,0.4023,0.0327,
nmerge_add_N10_s42,merge,additive_mean,10,42,,177,0.4947,nan,6.21,0.575,0.0803,
nmerge_add_N12_s42,merge,additive_mean,12,42,,15,0.4524,0.7869,7.6,0.5184,0.066,
nmerge_add_N12_s42,merge,additive_mean,12,42,,76,0.3483,nan,7.62,0.4415,0.0932,
nmerge_add_N12_s42,merge,additive_mean,12,42,,82,0.4542,nan,7.25,0.5102,0.056,
nmerge_add_N12_s42,merge,additive_mean,12,42,,111,0.352,nan,6.6,0.4023,0.0503,
nmerge_add_N12_s42,merge,additive_mean,12,42,,177,0.498,nan,6.44,0.575,0.077,
nmerge_add_N16_s42,merge,additive_mean,16,42,,15,0.4558,0.7872,8.09,0.5184,0.0626,
nmerge_add_N16_s42,merge,additive_mean,16,42,,76,0.3453,nan,7.97,0.4415,0.0962,
nmerge_add_N16_s42,merge,additive_mean,16,42,,82,0.4613,nan,7.49,0.5102,0.0489,
nmerge_add_N16_s42,merge,additive_mean,16,42,,111,0.3462,nan,6.81,0.4023,0.0561,
nmerge_add_N16_s42,merge,additive_mean,16,42,,177,0.4969,nan,6.86,0.575,0.0781,
nmerge_add_N20_s42,merge,additive_mean,20,42,,15,0.4444,0.7872,8.43,0.5184,0.074,
nmerge_add_N20_s42,merge,additive_mean,20,42,,76,0.3391,nan,8.23,0.4415,0.1024,
nmerge_add_N20_s42,merge,additive_mean,20,42,,82,0.4695,nan,7.72,0.5102,0.0407,
nmerge_add_N20_s42,merge,additive_mean,20,42,,111,0.3413,nan,6.94,0.4023,0.061,
nmerge_add_N20_s42,merge,additive_mean,20,42,,177,0.493,nan,7.15,0.575,0.082,
nmerge_add_N2_s42,merge,additive_mean,2,42,,15,0.4998,0.7196,4.37,0.5184,0.0186,
nmerge_add_N2_s42,merge,additive_mean,2,42,,82,0.507,nan,4.2,0.5102,0.0032,
nmerge_add_N32_s42,merge,additive_mean,32,42,,15,0.4247,0.7905,8.88,0.5184,0.0937,
nmerge_add_N32_s42,merge,additive_mean,32,42,,76,0.3309,nan,8.6,0.4415,0.1106,
nmerge_add_N32_s42,merge,additive_mean,32,42,,82,0.466,nan,7.97,0.5102,0.0442,
nmerge_add_N32_s42,merge,additive_mean,32,42,,111,0.3363,nan,7.13,0.4023,0.066,
nmerge_add_N32_s42,merge,additive_mean,32,42,,177,0.4924,nan,7.64,0.575,0.0826,
nmerge_add_N3_s42,merge,additive_mean,3,42,,15,0.4709,0.7429,4.93,0.5184,0.0475,
nmerge_add_N3_s42,merge,additive_mean,3,42,,82,0.4761,nan,4.77,0.5102,0.0341,
nmerge_add_N3_s42,merge,additive_mean,3,42,,111,0.3622,nan,5.12,0.4023,0.0401,
nmerge_add_N4_s42,merge,additive_mean,4,42,,15,0.4956,0.7603,5.4,0.5184,0.0228,
nmerge_add_N4_s42,merge,additive_mean,4,42,,82,0.4646,nan,5.35,0.5102,0.0456,
nmerge_add_N4_s42,merge,additive_mean,4,42,,111,0.36,nan,5.51,0.4023,0.0423,
