pool,k,base,router,drop,n_units_surviving,n_orphans,max_share,top3_share,entropy_norm,hhi,gini,n_eff,busiest_unit
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,activation_norm,d9,9,400,0.5125,0.9875,0.4496,0.4191,0.7544,2.39,7
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,activation_norm,d9_8,8,441,0.7415,0.9955,0.3172,0.6058,0.8036,1.65,7
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,activation_norm,d9_8_7_6,6,520,0.9000,1.0000,0.1937,0.8189,0.7981,1.22,5
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,attn_norm,d9,9,400,0.9400,0.9950,0.1188,0.8861,0.8722,1.13,4
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,attn_norm,d9_8,8,441,0.9478,1.0000,0.1059,0.9007,0.8608,1.11,4
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,attn_norm,d9_8_7_6,6,520,0.9423,1.0000,0.1310,0.8909,0.8128,1.12,4
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,centroid_lm,d9,9,400,0.5950,0.8300,0.5763,0.3949,0.6778,2.53,4
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,centroid_lm,d9_8,8,800,0.5687,0.8538,0.6124,0.3770,0.6450,2.65,4
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,centroid_lm,d9_8_7_6,6,1600,0.5138,0.9513,0.6725,0.3614,0.5590,2.77,4
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,centroid_lm_last,d9,9,400,0.7975,0.9975,0.2461,0.6741,0.8417,1.48,2
Llama-2-7B-chat-hf_k10_r32_e5_lr1e4,10,Llama-2-7B-chat-hf,centroid_lm_last,d9_8,8,800,0.8263,0.9975,0.2346,0.7112,0.8297,1.41,2
